profile_id,lane,run_id,query_id,usefulness_score,citation_quality_score,freshness_score,junk_domain_score,comments
baseline,owui-fast,20260308T193329Z,ws-001,,,,,
baseline,owui-fast,20260308T193329Z,ws-002,,,,,
baseline,owui-fast,20260308T193329Z,ws-006,,,,,
baseline,owui-fast,20260308T193329Z,ws-007,,,,,
baseline,owui-fast,20260308T193329Z,ws-010,,,,,
baseline,owui-fast,20260308T193329Z,ws-013,,,,,
baseline,owui-fast,20260308T193329Z,ws-017,,,,,
baseline,owui-fast,20260308T193329Z,ws-019,,,,,
baseline,owui-fast,20260308T193329Z,ws-024,,,,,
baseline,owui-fast,20260308T193329Z,ws-025,,,,,
baseline,owui-fast,20260308T193329Z,ws-030,,,,,
baseline,owui-fast,20260308T193329Z,ws-031,,,,,
baseline,owui-fast,20260308T193329Z,ws-036,,,,,
baseline,owui-research,20260308T193329Z,ws-001,,,,,
baseline,owui-research,20260308T193329Z,ws-002,,,,,
baseline,owui-research,20260308T193329Z,ws-006,,,,,
baseline,owui-research,20260308T193329Z,ws-007,,,,,
baseline,owui-research,20260308T193329Z,ws-010,,,,,
baseline,owui-research,20260308T193329Z,ws-013,,,,,
baseline,owui-research,20260308T193329Z,ws-017,,,,,
baseline,owui-research,20260308T193329Z,ws-019,,,,,
baseline,owui-research,20260308T193329Z,ws-024,,,,,
baseline,owui-research,20260308T193329Z,ws-025,,,,,
baseline,owui-research,20260308T193329Z,ws-030,,,,,
baseline,owui-research,20260308T193329Z,ws-031,,,,,
baseline,owui-research,20260308T193329Z,ws-036,,,,,
